_id;nome;cod;casosAcumulado;obitosAcumulado
Madalena;Madalena;230763;1936;39
Santa Juliana;Santa Juliana;315770;1935;52
Marumbi;Marumbi;411550;1935;18
Amarante;Amarante;220050;1934;42
Castanheira;Castanheira;510285;1934;31
Monsenhor Paulo;Monsenhor Paulo;314260;1933;10
Porto Alegre do Norte;Porto Alegre do Norte;510677;1933;27
Nova Santa Rosa;Nova Santa Rosa;411722;1931;20
Batayporã;Batayporã;500200;1931;34
São Roque de Minas;São Roque de Minas;316430;1930;22
Iacanga;Iacanga;351910;1930;34
Pejuçara;Pejuçara;431430;1930;13
Santa Rita do Pardo;Santa Rita do Pardo;500755;1930;15
Jardim Alegre;Jardim Alegre;411250;1928;37
Vicência;Vicência;261630;1926;39
Paulicéia;Paulicéia;353640;1923;28
Anadia;Anadia;270020;1920;40
Nova Guarita;Nova Guarita;510880;1920;19
Cabixi;Cabixi;110003;1919;23
Boa Vista do Ramos;Boa Vista do Ramos;130068;1919;14
Vista Alegre do Alto;Vista Alegre do Alto;355690;1919;25
Apuiarés;Apuiarés;230090;1918;29
Aparecida;Aparecida;250077;1918;16
Lagoa de Dentro;Lagoa de Dentro;250820;1918;12
Caetanópolis;Caetanópolis;310990;1918;27
Boa Vista da Aparecida;Boa Vista da Aparecida;410305;1918;42
Ubaitaba;Ubaitaba;293220;1915;53
São Jerônimo da Serra;São Jerônimo da Serra;412470;1915;32
São Tomé;São Tomé;412610;1914;6
Itaparica;Itaparica;291610;1913;43
Minas Novas;Minas Novas;314180;1913;27
Irapuru;Irapuru;352160;1913;44
Luiziana;Luiziana;411373;1913;17
Palmitinho;Palmitinho;431380;1913;15
Itaguari;Itaguari;521056;1913;20
Senador Firmino;Senador Firmino;316570;1911;14
